Dasha: Mars - (1988-02-14 19:34:32.55) to (1995-02-14 12:10:32.55) (2556 days) Age[(3year 4month 5days)] iid=0, open=False
  AntarDasha: Mercury - (1991-08-16 03:52:32.55) to (1992-08-12 08:37:38.55) (362 days) Age[(0year 10month 3days)] iid=1, open=False
	ParyantarDasha: Ketu - (1991-10-06 11:20:55.90) to (1991-10-27 14:25:33.75) (21 days) Age[(0year 0month 18days)] iid=2, open=False
	ParyantarDasha: Venus - (1991-10-27 14:25:33.75) to (1991-12-26 23:13:04.75) (60 days) Age[(0year 2month 18days)] iid=3, open=False
	ParyantarDasha: Sun - (1991-12-26 23:13:04.75) to (1992-01-14 01:51:20.05) (18 days) Age[(0year 3month 5days)] iid=4, open=False
	ParyantarDasha: Moon - (1992-01-14 01:51:20.05) to (1992-02-13 06:15:05.55) (30 days) Age[(0year 4month 4days)] iid=5, open=False
	ParyantarDasha: Mars - (1992-02-13 06:15:05.55) to (1992-03-05 09:19:43.40) (21 days) Age[(0year 4month 25days)] iid=6, open=False
	ParyantarDasha: Rahu - (1992-03-05 09:19:43.40) to (1992-04-28 17:14:29.30) (54 days) Age[(0year 6month 20days)] iid=7, open=False
	ParyantarDasha: Jupiter - (1992-04-28 17:14:29.30) to (1992-06-16 00:16:30.10) (48 days) Age[(0year 8month 7days)] iid=8, open=False
	ParyantarDasha: Saturn - (1992-06-16 00:16:30.10) to (1992-08-12 08:37:38.55) (57 days) Age[(0year 10month 3days)] iid=9, open=False
  AntarDasha: Ketu - (1992-08-12 08:37:38.55) to (1993-01-08 11:59:44.55) (149 days) Age[(1year 2month 30days)] iid=10, open=False
	ParyantarDasha: Ketu - (1992-08-12 08:37:38.55) to (1992-08-21 01:25:25.90) (8 days) Age[(0year 10month 12days)] iid=11, open=False
	ParyantarDasha: Venus - (1992-08-21 01:25:25.90) to (1992-09-14 21:59:06.90) (24 days) Age[(0year 11month 6days)] iid=12, open=False
	ParyantarDasha: Sun - (1992-09-14 21:59:06.90) to (1992-09-22 08:57:13.20) (7 days) Age[(0year 11month 13days)] iid=13, open=False
	ParyantarDasha: Moon - (1992-09-22 08:57:13.20) to (1992-10-04 19:14:03.70) (12 days) Age[(0year 11month 26days)] iid=14, open=False
	ParyantarDasha: Mars - (1992-10-04 19:14:03.70) to (1992-10-13 12:01:51.05) (8 days) Age[(1year 0month 4days)] iid=15, open=False
	ParyantarDasha: Rahu - (1992-10-13 12:01:51.05) to (1992-11-04 20:56:09.95) (22 days) Age[(1year 0month 27days)] iid=16, open=False
	ParyantarDasha: Jupiter - (1992-11-04 20:56:09.95) to (1992-11-24 18:11:06.75) (19 days) Age[(1year 1month 16days)] iid=17, open=False
	ParyantarDasha: Saturn - (1992-11-24 18:11:06.75) to (1992-12-18 08:55:06.70) (23 days) Age[(1year 2month 9days)] iid=18, open=False
	ParyantarDasha: Mercury - (1992-12-18 08:55:06.70) to (1993-01-08 11:59:44.55) (21 days) Age[(1year 2month 30days)] iid=19, open=False
  AntarDasha: Venus - (1993-01-08 11:59:44.55) to (1994-03-10 14:45:44.55) (426 days) Age[(2year 5month 1days)] iid=20, open=False
	ParyantarDasha: Venus - (1993-01-08 11:59:44.55) to (1993-03-20 12:27:24.55) (71 days) Age[(1year 5month 11days)] iid=21, open=False
	ParyantarDasha: Sun - (1993-03-20 12:27:24.55) to (1993-04-10 19:47:42.55) (21 days) Age[(1year 6month 2days)] iid=22, open=False
	ParyantarDasha: Moon - (1993-04-10 19:47:42.55) to (1993-05-16 08:01:32.55) (35 days) Age[(1year 7month 7days)] iid=23, open=False
	ParyantarDasha: Mars - (1993-05-16 08:01:32.55) to (1993-06-10 04:35:13.55) (24 days) Age[(1year 8month 1days)] iid=24, open=False
	ParyantarDasha: Rahu - (1993-06-10 04:35:13.55) to (1993-08-13 02:36:07.55) (63 days) Age[(1year 10month 4days)] iid=25, open=False
	ParyantarDasha: Jupiter - (1993-08-13 02:36:07.55) to (1993-10-08 22:10:15.55) (56 days) Age[(2year 0month 0days)] iid=26, open=False
	ParyantarDasha: Saturn - (1993-10-08 22:10:15.55) to (1993-12-15 09:24:32.55) (67 days) Age[(2year 2month 6days)] iid=27, open=False
	ParyantarDasha: Mercury - (1993-12-15 09:24:32.55) to (1994-02-13 18:12:03.55) (60 days) Age[(2year 4month 5days)] iid=28, open=False
	ParyantarDasha: Ketu - (1994-02-13 18:12:03.55) to (1994-03-10 14:45:44.55) (24 days) Age[(2year 5month 1days)] iid=29, open=False
  AntarDasha: Sun - (1994-03-10 14:45:44.55) to (1994-07-16 10:47:32.55) (127 days) Age[(2year 9month 7days)] iid=30, open=False
	ParyantarDasha: Sun - (1994-03-10 14:45:44.55) to (1994-03-17 00:09:49.95) (6 days) Age[(2year 5month 8days)] iid=31, open=False
	ParyantarDasha: Moon - (1994-03-17 00:09:49.95) to (1994-03-27 15:49:58.95) (10 days) Age[(2year 5month 19days)] iid=32, open=False
	ParyantarDasha: Mars - (1994-03-27 15:49:58.95) to (1994-04-04 02:48:05.25) (7 days) Age[(2year 5month 26days)] iid=33, open=False
	ParyantarDasha: Rahu - (1994-04-04 02:48:05.25) to (1994-04-23 07:00:21.45) (19 days) Age[(2year 6month 14days)] iid=34, open=False
	ParyantarDasha: Jupiter - (1994-04-23 07:00:21.45) to (1994-05-10 08:04:35.85) (17 days) Age[(2year 7month 1days)] iid=35, open=False
	ParyantarDasha: Saturn - (1994-05-10 08:04:35.85) to (1994-05-30 13:50:52.95) (20 days) Age[(2year 7month 21days)] iid=36, open=False
	ParyantarDasha: Mercury - (1994-05-30 13:50:52.95) to (1994-06-17 16:29:08.25) (18 days) Age[(2year 8month 9days)] iid=37, open=False
	ParyantarDasha: Ketu - (1994-06-17 16:29:08.25) to (1994-06-25 03:27:14.55) (7 days) Age[(2year 8month 16days)] iid=38, open=False
	ParyantarDasha: Venus - (1994-06-25 03:27:14.55) to (1994-07-16 10:47:32.55) (21 days) Age[(2year 9month 7days)] iid=39, open=False
  AntarDasha: Moon - (1994-07-16 10:47:32.55) to (1995-02-14 12:10:32.55) (213 days) Age[(3year 4month 5days)] iid=40, open=False
	ParyantarDasha: Moon - (1994-07-16 10:47:32.55) to (1994-08-03 04:54:27.55) (17 days) Age[(2year 9month 25days)] iid=41, open=False
	ParyantarDasha: Mars - (1994-08-03 04:54:27.55) to (1994-08-15 15:11:18.05) (12 days) Age[(2year 10month 7days)] iid=42, open=False
	ParyantarDasha: Rahu - (1994-08-15 15:11:18.05) to (1994-09-16 14:11:45.05) (31 days) Age[(2year 11month 7days)] iid=43, open=False
	ParyantarDasha: Jupiter - (1994-09-16 14:11:45.05) to (1994-10-14 23:58:49.05) (28 days) Age[(3year 0month 6days)] iid=44, open=False
	ParyantarDasha: Saturn - (1994-10-14 23:58:49.05) to (1994-11-17 17:35:57.55) (33 days) Age[(3year 1month 9days)] iid=45, open=False
	ParyantarDasha: Mercury - (1994-11-17 17:35:57.55) to (1994-12-17 21:59:43.05) (30 days) Age[(3year 2month 9days)] iid=46, open=False
	ParyantarDasha: Ketu - (1994-12-17 21:59:43.05) to (1994-12-30 08:16:33.55) (12 days) Age[(3year 2month 21days)] iid=47, open=False
	ParyantarDasha: Venus - (1994-12-30 08:16:33.55) to (1995-02-03 20:30:23.55) (35 days) Age[(3year 3month 26days)] iid=48, open=False
	ParyantarDasha: Sun - (1995-02-03 20:30:23.55) to (1995-02-14 12:10:32.55) (10 days) Age[(3year 4month 5days)] iid=49, open=False
Dasha: Rahu - (1995-02-14 12:10:32.55) to (2013-02-13 20:34:32.55) (6574 days) Age[(21year 4month 5days)] iid=50, open=False
  AntarDasha: Rahu - (1995-02-14 12:10:32.55) to (1997-10-27 15:50:08.55) (986 days) Age[(6year 0month 19days)] iid=51, open=False
	ParyantarDasha: Rahu - (1995-02-14 12:10:32.55) to (1995-07-12 10:19:28.95) (147 days) Age[(3year 9month 3days)] iid=52, open=False
	ParyantarDasha: Jupiter - (1995-07-12 10:19:28.95) to (1995-11-20 22:00:45.75) (131 days) Age[(4year 1month 12days)] iid=53, open=False
	ParyantarDasha: Saturn - (1995-11-20 22:00:45.75) to (1996-04-25 01:23:31.95) (156 days) Age[(4year 6month 16days)] iid=54, open=False
	ParyantarDasha: Mercury - (1996-04-25 01:23:31.95) to (1996-09-11 18:18:38.55) (139 days) Age[(4year 11month 3days)] iid=55, open=False
	ParyantarDasha: Ketu - (1996-09-11 18:18:38.55) to (1996-11-08 06:55:27.15) (57 days) Age[(5year 0month 30days)] iid=56, open=False
	ParyantarDasha: Venus - (1996-11-08 06:55:27.15) to (1997-04-21 15:32:03.15) (164 days) Age[(5year 6month 13days)] iid=57, open=False
	ParyantarDasha: Sun - (1997-04-21 15:32:03.15) to (1997-06-09 22:55:01.95) (49 days) Age[(5year 8month 1days)] iid=58, open=False
	ParyantarDasha: Moon - (1997-06-09 22:55:01.95) to (1997-08-31 03:13:19.95) (82 days) Age[(5year 10month 22days)] iid=59, open=False
	ParyantarDasha: Mars - (1997-08-31 03:13:19.95) to (1997-10-27 15:50:08.55) (57 days) Age[(6year 0month 19days)] iid=60, open=False
  AntarDasha: Jupiter - (1997-10-27 15:50:08.55) to (2000-03-22 05:45:20.55) (876 days) Age[(8year 5month 13days)] iid=61, open=False
	ParyantarDasha: Jupiter - (1997-10-27 15:50:08.55) to (1998-02-21 12:53:30.15) (116 days) Age[(6year 4month 12days)] iid=62, open=False
